!! request processed by HyperLeda Tue Feb  1 20:12:14 2022
!! Number of lines in uploaded file: 673
                  name                  |     objname     |     al2000      |     de2000      |      type       |       bar       |      ring       |    multiple     |        t        |     logd25      |     logr25      |    e_logr25     |       pa        |       bt        |       it        |      vmaxg      |       m21       |      mfir       |        v        |       ag        |      incl       |      vrot       |      vvir       |      modz       |
NGC5732                                 |  NGC5732        | 14.6774938      | 38.6377297      | Sbc             |                 |                 |                 | 4               |   1.09          |  0.278          |    0.024        | 42.34           | 14.341          | 13.34           | 283.4           |                 | 13.65           | 3735.5          | 0.067           | 60.76           | 324.78          | 3998.4          | 33.823          |
NGC5735                                 |  NGC5735        | 14.7092354      | 28.7264273      | Sbc             | B               | R               | M               | 3.6             |  1.302          |  0.133          |    0.025        | 49.55           | 13.657          | 12.578          | 103.58          | 14.443          | 13.234          | 3730.2          | 0.074           | 44.22           | 148.5           | 3965.7          | 33.8            |
NGC5739                                 |  NGC5739        | 14.7080139      | 41.84225        | S0-a            | B               | R               |                 | -0.9            |  1.242          |  0.143          |    0.034        | 43.5            | 13.272          |                 |                 |                 |                 | 5564.1          | 0.073           | 49.68           |                 | 5835            | 34.647          |
NGC5772                                 |  NGC5772        | 14.8608022      | 40.5992007      | Sb              |                 | R               |                 | 3               |   1.14          |   0.42          |    0.045        | 32.01           | 13.708          | 12.14           | 235.12          | 15.533          | 13.672          | 4873.1          | 0.081           | 73.12           | 245.71          | 5144.2          | 34.37           |
NGC5784                                 |  NGC5784        | 14.9045693      | 42.557903       | S0              |                 |                 | M               | -1.9            |  1.171          |  0.039          |    0.026        |                 | 13.655          |                 |                 |                 | 13.157          | 5370            | 0.094           | 27.47           |                 | 5646.1          | 34.569          |
NGC5794                                 |  NGC5794        | 14.9315627      | 49.726084       | S0-a            | B               | R               |                 | 0               |  1.031          |  0.073          |     0.03        | 143.26          | 14.318          | 12.665          |                 |                 |                 | 4188.2          | 0.077           | 35.12           |                 | 4477.4          | 34.073          |
NGC5797                                 |  NGC5797        | 14.940015       | 49.6961014      | S0-a            |                 |                 | M               | -0.3            |  1.199          |  0.194          |    0.026        | 107.52          | 13.513          |                 |                 |                 |                 | 4032            | 0.078           | 56.28           |                 | 4321.2          | 33.993          |
NGC5829                                 |  NGC5829        | 15.0450006      | 23.3336126      | Sc              |                 |                 | M               | 5.3             |  1.152          |  0.119          |    0.022        | 40.96           | 13.971          | 12.951          | 76.48           | 15.074          |                 | 5686.1          | 0.193           | 41.45           | 115.55          | 5910.6          | 34.678          |
NGC5876                                 |  NGC5876        | 15.1587724      | 54.5064656      | SBab            | B               | R               |                 | 1.5             |  1.391          |  0.328          |    0.047        | 48.22           | 13.707          | 12.076          | 221.57          | 16.21           |                 | 3254.1          | 0.057           | 68.09           | 238.82          | 3552.2          | 33.565          |
NGC5888                                 |  NGC5888        | 15.2187184      | 41.2646586      | Sbc             | B               |                 | M               | 3.7             |  1.124          |  0.214          |    0.024        | 156.69          | 14.173          | 12.592          |                 |                 |                 | 8709.7          | 0.093           | 54.58           |                 | 8988.4          | 35.592          |
NGC5908                                 |  NGC5908        | 15.2786653      | 55.4095087      | SBb             | B               |                 |                 | 3               |  1.528          |   0.32          |    0.045        | 153.45          | 12.805          | 10.711          | 314.56          | 14.513          | 11.188          | 3332.8          | 0.065           | 65.31           | 346.21          | 3633.1          | 33.614          |
NGC5928                                 |  NGC5928        | 15.4341321      | 18.0736438      | S0              |                 |                 |                 | -2.1            |  1.215          |  0.183          |    0.026        | 103.15          | 13.683          | 11.991          |                 |                 |                 | 4460.5          | 0.231           | 59.21           |                 | 4673.4          | 34.17           |
NGC5929                                 |  NGC5929        | 15.4350413      | 41.6706914      | Sa              |                 |                 | M               | 1.3             |  0.956          |  0.036          |    0.041        |                 | 14.071          | 12.612          | 111.77          | 16.15           |                 | 2549.7          | 0.104           | 24.41           | 270.45          | 2832.4          | 33.068          |
NGC5930                                 |  NGC5930        | 15.4355388      | 41.6760604      | SABa            | B               |                 | M               | 2.3             |  1.267          |   0.37          |    0.047        | 173.28          | 13.177          | 10.426          | 106.1           | 16.387          | 10.797          | 2588.2          | 0.104           | 70.45           | 112.59          | 2871            | 33.098          |
NGC5934                                 |  NGC5934        | 15.4702123      | 42.9299198      | SBa             | B               |                 | M               | 1               |  0.786          |  0.323          |    0.051        | 4.93            | 14.444          | 12.756          |                 |                 | 12.735          | 5563.4          | 0.127           | 68.65           |                 | 5849.1          | 34.647          |
NGC5935                                 |  NGC5935        | 15.4713121      | 42.9441413      | SBa             | B               |                 | M               | 0.5             |   0.93          |  0.327          |     0.03        | 36.62           | 14.845          | 13.129          |                 |                 |                 | 5330.7          | 0.128           | 70.33           |                 | 5616.4          | 34.569          |
NGC5947                                 |  NGC5947        | 15.510164       | 42.7171558      | SBbc            | B               |                 |                 | 3.7             |  1.067          |  0.154          |    0.034        | 45.24           | 14.584          | 13.107          |                 |                 | 13.525          | 5934.6          | 0.141           | 47.25           |                 | 6220.5          | 34.782          |
NGC5950                                 |  NGC5950        | 15.5252216      | 40.4300635      | SBb             | B               | R               | M               | 3.2             |  1.098          |  0.299          |    0.024        | 37.84           | 14.555          | 13.292          | 187.4           | 15.7            | 13.527          | 2615.1          | 0.117           | 63.33           | 209.72          | 2896.6          | 33.129          |
NGC5951                                 |  NGC5951        | 15.5619624      | 15.0072234      | SBc             | B               |                 |                 | 5.2             |  1.482          |  0.661          |    0.024        | 4.13            | 13.671          | 12.551          | 120.75          | 14.458          | 13.384          | 1778.5          | 0.209           | 84.6            | 121.29          | 1981.7          | 32.298          |
NGC5953                                 |  NGC5953        | 15.575665       | 15.1937933      | S0-a            |                 |                 | M               | 0.1             |  1.168          |  0.117          |     0.02        |                 | 12.983          |                 | 61.58           | 15.477          | 10.567          | 1969.8          | 0.211           | 43.94           | 88.75           | 2173.9          | 32.507          |
NGC5954                                 |  NGC5954        | 15.5764252      | 15.1992225      | SABc            | B               |                 | M               | 5.9             |  1.009          |  0.325          |    0.037        | 19.17           | 12.81           |                 | 111.38          | 14.937          |                 | 1924.6          | 0.212           | 63.56           | 124.39          | 2128.7          | 32.467          |
NGC5957                                 |  NGC5957        | 15.5897826      | 12.04757        | Sb              | B               | R               |                 | 2.9             |  1.388          |  0.019          |    0.051        |                 | 13.562          | 11.965          |  42.1           | 14.223          | 13.149          | 1820.4          | 0.188           | 17.52           | 139.9           | 2011.9          | 32.341          |
NGC5966                                 |  NGC5966        | 15.5978098      | 39.7689601      | E               |                 |                 |                 | -4.9            |  1.184          |  0.191          |     0.03        | 87.88           | 13.138          | 12.173          | 187.19          | 18.153          |                 | 4503.9          | 0.093           |   90            | 187.19          | 4785            | 34.208          |
NGC5971                                 |  NGC5971        | 15.5935814      | 56.4616827      | Sa              |                 | R               |                 | 1.1             |  1.098          |  0.371          |     0.03        | 132.19          | 14.719          | 13.126          |                 |                 |                 | 3363.9          | 0.036           | 73.19           |                 | 3668.4          | 33.638          |
NGC5980                                 |  NGC5980        | 15.6917825      | 15.7876763      | Sbc             |                 |                 |                 | 4.4             |  1.213          |  0.501          |    0.029        | 14.49           | 13.21           |                 | 194.96          | 15.113          | 11.657          | 4087.1          | 0.15            | 76.43           | 200.56          | 4295.6          | 33.972          |
NGC5987                                 |  NGC5987        | 15.6659436      | 58.0795287      | Sb              |                 |                 |                 | 2.9             |  1.584          |  0.462          |    0.028        |                 | 12.72           | 10.35           | 275.17          | 14.793          |                 | 3006.2          | 0.068           | 76.42           | 283.09          | 3312.3          | 33.411          |
NGC6004                                 |  NGC6004        | 15.8396439      | 18.9392466      | Sc              | B               |                 |                 | 4.8             |  1.277          |  0.103          |    0.027        | 95.48           | 13.368          | 12.066          | 104.47          | 16.41           | 12.804          | 3818.8          | 0.175           | 38.86           | 166.5           | 4041.6          | 33.845          |
NGC6020                                 |  NGC6020        | 15.9522607      | 22.4045495      | E               |                 |                 |                 | -4.8            |   1.24          |  0.199          |     0.03        | 136.14          | 13.759          | 12.247          |                 |                 |                 | 4304.2          | 0.282           |   90            |                 | 4541.1          | 34.093          |
NGC6021                                 |  NGC6021        | 15.958526       | 15.9560201      | E               |                 |                 |                 | -4              |  1.189          |  0.232          |    0.029        | 157.97          | 14.079          | 12.451          |                 |                 |                 | 4740.2          | 0.169           |   90            |                 | 4953.3          | 34.281          |
NGC6023                                 |  NGC6023        | 15.9637829      | 16.3101706      | E               |                 |                 |                 | -4.8            |  1.206          |  0.143          |    0.025        | 66.82           | 14.248          | 12.47           |                 |                 |                 | 11096.9         | 0.166           | 69.42           |                 | 11311.4         | 36.097          |
NGC6027E                                |  NGC6027E       | 15.9868219      | 20.7633378      | S0-a            | B               |                 | M               | -1.5            |  1.357          |  0.248          |    0.113        | 81.08           | 14.394          | 13.06           |                 |                 |                 | 4394            | 0.238           | 67.09           |                 | 4625.5          | 34.132          |
NGC6032                                 |  NGC6032        | 16.0503148      | 20.9559748      | Sb              | B               |                 |                 | 3.1             |   0.92          |  0.215          |    0.032        | 1.13            | 14.35           | 12.788          | 135.79          | 15.424          | 13.912          | 4326.4          | 0.392           | 55.07           | 165.63          | 4559.4          | 34.113          |
NGC6060                                 |  NGC6060        | 16.0977736      | 21.4849331      | SABc            | B               | R               |                 | 4.8             |  1.277          |  0.269          |    0.039        | 103.34          | 14.083          | 11.649          | 214.23          | 13.883          | 12.288          | 4404.3          | 0.347           | 59.49           | 248.66          | 4639.8          | 34.151          |
NGC6063                                 |  NGC6063        | 16.1202739      | 7.978973        | Sc              |                 |                 | M               | 5.8             |  1.212          |  0.283          |    0.023        | 157.07          | 13.948          | 12.584          | 124.68          | 15.322          |                 | 2845.1          | 0.201           | 60.26           | 143.58          | 3027.1          | 33.217          |
NGC6081                                 |  NGC6081        | 16.2157929      | 9.8671048       | S0              |                 |                 |                 | -1.8            |  1.191          |  0.441          |    0.027        | 130.67          | 14.331          | 12.389          | 280.93          | 16.655          |                 | 5114.1          | 0.192           |   90            | 280.93          | 5305.5          | 34.438          |
NGC6090                                 |  NGC6090        | 16.194649       | 52.4565388      | Sab             |                 |                 | M               | 1.7             |  0.637          |  0.363          |    0.064        |                 | 14.533          |                 | 92.38           | 16.14           | 11.181          | 8855.2          | 0.086           | 70.99           | 97.71           | 9161.8          | 35.633          |
NGC6125                                 |  NGC6127        | 16.3198732      | 57.9841256      | E               |                 |                 |                 | -4.9            |  1.139          |      0          |    0.057        |                 | 12.997          |                 |                 |                 |                 | 4810            | 0.054           |    0            |                 | 5120.8          | 34.352          |
NGC6132                                 |  NGC6132        | 16.3941192      | 11.7862551      | Sab             |                 |                 |                 | 2               |  1.108          |  0.475          |    0.026        | 126.5           | 14.709          | 13.453          | 154.64          | 14.739          | 13.708          | 4964.9          | 0.314           | 79.87           | 157.09          | 5166.3          | 34.387          |
NGC6146                                 |  NGC6146        | 16.4195407      | 40.8926984      | E               |                 |                 |                 | -4.8            |   1.22          |   0.12          |     0.05        | 82.77           | 13.511          | 11.242          |                 |                 | 15.06           | 8816.8          | 0.036           | 60.7            |                 | 9108.7          | 35.623          |
NGC6150                                 |  NGC6150        | 16.4305502      | 40.4887002      | E               |                 |                 |                 | -4.5            |  1.207          |  0.279          |      0.1        | 74.19           | 14.476          | 12.661          | 36.27           | 16.482          | 13.572          | 8742.3          | 0.036           |   90            | 36.27           | 9033.5          | 35.603          |
PGC058100                               |  PGC058100      | 16.4290185      | 40.475581       | Sa              |                 |                 |                 | 1               |   0.96          |  0.425          |     0.07        | 142.94          | 15.377          | 14.083          |                 |                 | 13.551          | 9526.7          | 0.035           | 78.84           |                 | 9817.9          | 35.788          |
NGC6154                                 |  NGC6154        | 16.4251373      | 49.8402465      | Sa              | B               | R               |                 | 1.1             |  1.147          |  0.147          |    0.029        | 149.56          | 13.871          | 12.474          | 59.31           |  16             |                 | 5965.7          | 0.097           | 47.93           | 79.91           | 6271.3          | 34.796          |
NGC6155                                 |  NGC6155        | 16.4356458      | 48.3667871      | SBbc            | B               | R               |                 | 4.1             |  1.123          |  0.193          |    0.025        | 147.41          | 13.065          | 12.166          | 82.71           | 16.01           | 12.202          | 2413.7          | 0.06            | 51.94           | 105.05          | 2717.6          | 33.005          |
NGC6166                                 |  NGC6166        | 16.4773079      | 39.5513323      | E               |                 |                 |                 | -4.3            |   1.33          |  0.143          |    0.059        | 35.25           | 12.912          | 12.506          |                 |                 | 14.908          | 9347.3          | 0.049           | 63.45           |                 | 9637            | 35.741          |
NGC6168                                 |  NGC6168        | 16.5226413      | 20.1843875      | Sd              |                 |                 |                 | 7.9             |  1.217          |   0.54          |    0.028        | 111             | 14.609          | 13.185          | 117.26          | 15.078          | 12.481          | 2523.2          | 0.274           |   90            | 117.26          | 2758.3          | 33.036          |
NGC6173                                 |  NGC6173        | 16.4958087      | 40.8115824      | E               | B               | R               | M               | -4.8            |  1.307          |  0.162          |    0.053        | 145.09          | 13.147          | 11.685          |                 |                 | 15.678          | 8795.2          | 0.027           | 77.18           |                 | 9087.5          | 35.613          |
NGC6186                                 |  NGC6186        | 16.5737475      | 21.5408868      | Sa              | B               |                 |                 | 1.2             |  1.196          |  0.352          |    0.035        | 58.87           | 14.229          | 13.059          | 119.05          | 16.669          | 11.902          | 2936.5          | 0.202           | 71.02           | 125.89          | 3176.7          | 33.33           |
NGC6278                                 |  NGC6278        | 17.0139793      | 23.0110376      | S0              | B               | R               |                 | -1.8            |  1.237          |  0.305          |    0.026        | 127.75          | 13.748          |                 | 74.59           | 17.188          |                 | 2795.2          | 0.272           | 78.77           | 76.04           | 3042.9          | 33.246          |
NGC6301                                 |  NGC6301        | 17.1424262      | 42.3389919      | Sc              |                 | R               |                 | 5.9             |  1.248          |  0.249          |     0.03        | 112.76          | 14.504          |                 | 204.89          | 15.93           | 13.481          | 8360.9          | 0.124           | 57.09           | 244.05          | 8658.7          | 35.509          |
NGC6310                                 |  NGC6310        | 17.132626       | 60.9901251      | Sb              |                 | R               |                 | 3.1             |  1.225          |  0.684          |    0.048        | 69.56           | 13.785          | 12.486          | 212.18          | 16.25           |                 | 3400.1          | 0.118           |   90            | 212.18          | 3714.2          | 33.662          |
NGC6314                                 |  NGC6314        | 17.2107538      | 23.2701144      | Sa              |                 |                 |                 | 0.9             |  1.138          |  0.294          |    0.023        | 174.24          | 13.902          | 12.199          | 230.2           | 16.6            | 13.574          | 6620.3          | 0.283           | 65.88           | 252.22          | 6869.2          | 35.003          |
NGC6338                                 |  NGC6338        | 17.2563826      | 57.4112016      | S0              |                 |                 |                 | -2.1            |  1.237          |  0.222          |    0.026        | 16.04           | 13.472          | 12.158          |                 |                 |                 | 8185.1          | 0.155           | 65.98           |                 | 8498.7          | 35.466          |
NGC6361                                 |  NGC6361        | 17.3114197      | 60.608128       | Sb              |                 |                 |                 | 3               |  1.313          |  0.564          |    0.028        | 52              | 13.798          | 11.931          | 223.37          | 14.471          | 11.231          | 3798.9          | 0.116           | 84.56           | 224.38          | 4113            | 33.888          |
NGC6373                                 |  NGC6373        | 17.4022503      | 58.9950993      | Sc              | B               | R               | M               | 5.2             |  1.015          |  0.172          |    0.025        | 84.23           | 14.56           | 13.835          | 90.15           | 15.504          |                 | 3306.2          | 0.131           | 48.94           | 119.56          | 3620.2          | 33.614          |
NGC6394                                 |  UGC10889       | 17.5059512      | 59.6398916      | SBb             | B               |                 |                 | 3.2             |  1.056          |  0.422          |    0.026        | 40.15           | 15.195          | 13.395          |                 |                 | 13.372          | 8522.4          | 0.137           | 73.1            |                 | 8836.4          | 35.551          |
NGC6411                                 |  NGC6411        | 17.5924472      | 60.8133611      | E               |                 |                 |                 | -4.8            |  1.245          |  0.184          |    0.034        | 68.5            | 12.801          |                 |                 |                 |                 | 3748            | 0.236           |   90            |                 | 4062            | 33.866          |
NGC6427                                 |  NGC6427        | 17.7273861      | 25.4938889      | E-S0            |                 |                 |                 | -3              |  1.189          |  0.474          |    0.074        | 35.67           | 14.515          |                 |                 |                 |                 | 3231.3          | 0.287           |   90            |                 | 3487            | 33.515          |
NGC6478                                 |  NGC6478        | 17.81065        | 51.1572222      | Sc              |                 |                 |                 | 4.9             |  1.161          |  0.518          |     0.04        | 35.21           | 14.02           | 11.722          | 238.15          | 15.467          | 12.362          | 6776            | 0.19            | 76.7            | 244.71          | 7085            | 35.067          |
NGC6497                                 |  NGC6497        | 17.8549967      | 59.4708403      | Sb              | B               | R               |                 | 3.1             |  1.162          |  0.343          |    0.026        | 110.26          | 14.219          |                 |                 |                 |                 | 6162            | 0.234           | 67.1            |                 | 6475.4          | 34.867          |
NGC6515                                 |  NGC6515        | 17.9569966      | 50.7280476      | E               |                 |                 |                 | -4.9            |  1.184          |  0.127          |    0.037        | 16.75           | 14.253          |                 |                 |                 |                 | 6854            | 0.2             | 64.31           |                 | 7162            | 35.093          |
NGC6762                                 |  NGC6762        | 19.0936333      | 63.9339722      | S0-a            |                 |                 |                 | 0               |  1.189          |   0.66          |     0.05        | 119.33          | 14.115          |                 |                 |                 |                 | 2923.9          | 0.239           |   90            |                 | 3230.7          | 33.358          |
NGC6941                                 |  NGC6941        | 20.6065194      | -4.6187515      | Sb              | B               |                 |                 | 3.3             |  1.237          |  0.159          |    0.023        | 125.97          | 14.167          | 12.44           | 176.35          | 15.26           | 13.721          | 6218            | 0.272           | 48.06           | 237.06          | 6296.2          | 34.81           |
NGC6945                                 |  NGC6945        | 20.6501665      | -4.9726566      | E-S0            | B               |                 |                 | -3              |    1.2          |  0.195          |    0.032        | 120.87          | 15.2            | 11.531          |                 |                 |                 | 3797            | 0.216           | 65.54           |                 | 3872.2          | 33.755          |
NGC6977                                 |  NGC6977        | 20.8749255      | -5.7461617      | Sa              | B               | R               |                 | 1.3             |  1.098          |  0.128          |    0.022        | 167.85          | 14.124          | 12.741          | 75.25           |                 |                 | 6112.8          | 0.345           | 44.71           | 106.96          | 6177.2          | 34.767          |
NGC6978                                 |  NGC6978        | 20.8765231      | -5.7112026      | Sb              |                 |                 |                 | 2.7             |  1.179          |  0.421          |    0.028        | 125.98          | 14.083          | 12.483          | 240.97          |                 |                 | 5969.8          | 0.347           | 73.69           | 251.08          | 6034.3          | 34.723          |
NGC7025                                 |  NGC7025        | 21.1298156      | 16.3357467      | Sa              |                 |                 |                 | 1               |  1.305          |  0.185          |    0.022        | 44.9            | 13.994          |                 | 281.28          | 16.753          |                 | 4968.1          | 0.344           | 53.27           | 350.95          | 5125.8          | 34.37           |
NGC7047                                 |  NGC7047        | 21.2743418      | -0.8264661      | Sb              | B               | R               | M               | 3.3             |  1.126          |  0.311          |    0.024        | 104.23          | 14.822          | 12.465          | 198.96          | 17.52           | 13.489          | 5787            | 0.293           | 64.24           | 220.91          | 5862.1          | 34.662          |
NGC7194                                 |  NGC7194        | 22.0585828      | 12.6368719      | E               |                 |                 |                 | -4.9            |  1.117          |  0.166          |    0.043        | 17.65           | 14.317          | 12.481          |                 |                 |                 | 8146.3          | 0.249           | 82.59           |                 | 8255.7          | 35.401          |
NGC7236                                 |  NGC7236        | 22.2458283      | 13.8464916      | E-S0            |                 |                 | M               | -3              |  1.141          |  0.231          |    0.028        | 156.24          | 14.577          | 12.97           |                 |                 |                 | 7850.3          | 0.279           | 73.74           |                 | 7958.2          | 35.322          |
NGC7311                                 |  NGC7311        | 22.5685444      | 5.5703056       | Sab             |                 |                 |                 | 2               |  1.168          |  0.334          |    0.026        | 11              | 13.318          |                 | 233.24          | 15.836          |                 | 4520.5          | 0.573           | 67.82           | 251.88          | 4577.9          | 34.113          |
NGC7321                                 |  NGC7321        | 22.6077842      | 21.6214952      | SBb             | B               | R               |                 | 3.1             |  1.148          |  0.163          |     0.03        | 17.74           | 13.922          | 11.88           | 197.63          | 15.552          | 13.166          | 7142            | 0.2             | 48.71           | 263.04          | 7270.4          | 35.131          |
NGC7364                                 |  NGC7364        | 22.7401069      | -0.1620814      | S0-a            |                 | R               |                 | 0.2             |  1.217          |  0.167          |    0.026        | 66.14           | 13.356          | 12.02           | 174.02          | 15.202          |                 | 4846.3          | 0.28            | 51.82           | 221.38          | 4869.6          | 34.245          |
NGC7436B                                |  NGC7433        | 22.9655812      | 26.1497197      | Sbc             |                 |                 | M               | 4.4             |  0.862          |  0.467          |    0.073        | 98.3            | 13.956          |                 |                 |                 |                 | 7599            | 0.396           | 74.33           |                 | 7733.5          | 35.264          |
NGC7466                                 |  NGC7466        | 23.0342819      | 27.0524028      | Sb              |                 |                 |                 | 3.1             |  1.188          |  0.419          |    0.034        | 25.4            | 14.557          | 12.7            | 194.08          | 15.791          | 13.045          | 7509.1          | 0.224           | 72.96           | 202.99          | 7645            | 35.24           |
NGC7489                                 |  NGC7489        | 23.1257528      | 22.9979722      | Sc              |                 |                 |                 | 6.4             |  1.085          |  0.271          |    0.022        | 165.16          | 14.233          | 12.422          | 166.39          | 14.77           | 12.828          | 6239.4          | 0.994           | 58.96           | 194.2           | 6354.7          | 34.825          |
NGC7536                                 |  NGC7536        | 23.2369909      | 13.4263785      | SBbc            | B               | R               |                 | 3.9             |  1.201          |  0.357          |    0.027        | 56.11           | 14.086          | 12.517          | 149.21          | 14.768          | 12.793          | 4699            | 0.252           | 67.42           | 161.6           | 4766.9          | 34.208          |
NGC7549                                 |  NGC7549        | 23.2547968      | 19.0417755      | Sc              | B               |                 |                 | 5.9             |  1.267          |  0.393          |    0.035        | 33              | 14.077          | 12.776          | 111.66          | 16.41           | 12.307          | 4697.1          | 0.633           | 68.4            | 120.09          | 4790            | 34.208          |
NGC7550                                 |  NGC7550        | 23.2544694      | 18.9613611      | E-S0            |                 |                 |                 | -3.1            |  1.161          |  0.013          |    0.048        |                 | 13.169          |                 |                 |                 |                 | 5077.7          | 0.592           | 16.5            |                 | 5170.3          | 34.387          |
NGC7559B                                |  UGC12463       | 23.2629374      | 13.2902966      | E-S0            |                 |                 | M               | -3.2            |  1.109          |  0.038          |    0.045        |                 | 14.431          | 12.501          |                 |                 |                 | 4566.8          | 0.229           | 28.73           |                 | 4633.1          | 34.151          |
NGC7562                                 |  NGC7562        | 23.265964       | 6.6873656       | E               |                 |                 |                 | -4.9            |  1.338          |  0.137          |    0.058        | 83.67           | 12.618          | 10.265          | 36.38           | 16.838          |                 | 3484.8          | 0.437           | 67.65           | 39.33           | 3519.9          | 33.54           |
NGC7563                                 |  NGC7563        | 23.2655387      | 13.1962135      | Sa              | B               |                 |                 | 1               |  1.185          |  0.223          |    0.028        | 143.2           | 13.887          | 12.124          | 179.93          | 16.83           |                 | 4292            | 0.239           | 58.09           | 211.96          | 4357.7          | 34.013          |
NGC7591                                 |  NGC7591        | 23.3045194      | 6.58575         | SBbc            | B               |                 |                 | 3.6             |  1.206          |  0.347          |    0.023        | 146.94          | 13.87           | 11.881          | 194.06          | 14.174          | 10.947          | 4955.3          | 0.448           | 66.91           | 210.95          | 4988.4          | 34.299          |
NGC7608                                 |  NGC7608        | 23.3209221      | 8.3500663       | Sbc             |                 |                 |                 | 3.7             |  1.156          |   0.56          |    0.024        | 18.84           | 14.991          | 12.83           | 131.82          | 16.337          |                 | 3529.7          | 0.308           | 81.73           | 133.2           | 3570.4          | 33.59           |
NGC7611                                 |  NGC7611        | 23.3268388      | 8.0632668       | S0-a            | B               |                 |                 | -1.1            |  1.231          |  0.332          |    0.057        | 139.33          | 13.527          | 11.565          |                 |                 |                 | 3303.7          | 0.358           | 77.62           |                 | 3342.9          | 33.438          |
NGC7619                                 |  NGC7619        | 23.3373667      | 8.2062778       | E               |                 |                 |                 | -4.8            |  1.403          |  0.109          |     0.03        | 30              | 12.105          | 9.805           |                 |                 |                 | 3763.1          | 0.353           | 57.23           |                 | 3802.5          | 33.709          |
NGC7623                                 |  NGC7623        | 23.3416556      | 8.3957222       | S0              |                 |                 |                 | -1.9            |  1.126          |  0.146          |    0.033        | 179.84          | 13.854          | 11.455          |                 |                 |                 | 3679.8          | 0.287           | 52.19           |                 | 3720            | 33.662          |
NGC7625                                 |  NGC7625        | 23.3417069      | 17.2256058      | Sa              |                 |                 | M               | 1               |  1.169          |  0.013          |    0.044        |                 | 12.937          | 10.869          | 73.76           | 14.645          | 10.68           | 1630.5          | 0.108           | 14.98           | 285.4           | 1711.9          | 32.018          |
NGC7631                                 |  NGC7631        | 23.3574083      | 8.2176111       | Sb              |                 | R               |                 | 3.1             |   1.27          |   0.35          |    0.036        | 78.17           | 13.899          | 11.952          | 167.95          | 15.995          |                 | 3754.9          | 0.315           | 67.7            | 181.52          | 3793.7          | 33.709          |
NGC7653                                 |  NGC7653        | 23.413707       | 15.2756006      | Sb              |                 |                 |                 | 3.1             |  1.209          |  0.062          |    0.046        | 172.47          | 13.424          | 12.109          | 117.38          | 15.311          | 12.524          | 4259.3          | 0.29            | 31.01           | 227.86          | 4328.9          | 33.993          |
NGC7671                                 |  NGC7671        | 23.4553871      | 12.4674478      | S0              |                 |                 |                 | -2              |  1.144          |  0.277          |    0.057        | 137             | 13.792          |                 |                 |                 |                 | 4122.3          | 0.31            | 74.5            |                 | 4177.2          | 33.909          |
NGC7683                                 |  NGC7683        | 23.4843889      | 11.4450833      | S0              |                 |                 |                 | -1.9            |  1.294          |  0.323          |     0.04        | 140             | 13.615          |                 |                 |                 |                 | 3729            | 0.318           | 84.69           |                 | 3777.9          | 33.709          |
NGC7684                                 |  NGC7684        | 23.5088952      | 0.0810968       | S0-a            |                 | R               |                 | -0.2            |  1.198          |  0.532          |    0.028        | 17.68           | 14.352          | 12.214          | 116.9           | 16.263          |                 | 5150.1          | 0.2             |   90            | 116.9           | 5143.9          | 34.37           |
NGC7691                                 |  NGC7691        | 23.5401169      | 15.8478539      | Sbc             | B               | R               |                 | 4               |  1.225          |  0.092          |    0.023        | 161.75          | 13.942          | 12.535          | 100.29          | 15.525          | 13.482          | 4036.7          | 0.267           | 37.09           | 166.3           | 4104            | 33.888          |
NGC7711                                 |  NGC7711        | 23.5942778      | 15.3021389      | S0              |                 |                 | M               | -1.9            |  1.385          |   0.41          |    0.057        | 93.34           | 13.098          |                 |                 |                 |                 | 4057            | 0.308           |   90            |                 | 4119.7          | 33.888          |
NGC7716                                 |  NGC7716        | 23.6087363      | 0.2972754       | Sb              | B               | R               |                 | 3               |  1.263          |   0.16          |    0.028        | 34.34           | 12.966          | 11.674          | 103.53          | 14.504          | 13.261          | 2558.4          | 0.149           | 48.37           | 138.51          | 2549.2          | 32.839          |
NGC7722                                 |  NGC7722        | 23.6447784      | 15.9546973      | S0-a            |                 |                 |                 | -0.2            |  1.324          |  0.121          |    0.026        | 148.15          | 13.462          | 11.624          | 272.46          | 16.206          | 12.981          | 4008.7          | 0.241           | 44.98           | 385.48          | 4072.6          | 33.866          |
NGC7738                                 |  NGC7738        | 23.7339019      | 0.5167414       | Sb              | B               |                 |                 | 3               |  1.074          |    0.3          |    0.028        | 54.79           | 14.16           | 12.32           | 201.11          | 16.988          | 11.525          | 6794.5          | 0.116           | 63.56           | 224.61          | 6781.4          | 34.976          |
NGC7782                                 |  NGC7782        | 23.8983009      | 7.970594        | Sb              |                 | R               |                 | 3               |  1.386          |  0.236          |    0.054        | 175.31          | 13.086          | 11.49           | 268.44          | 14.823          | 12.966          | 5360.9          | 0.218           | 57.44           | 318.52          | 5377            | 34.472          |
PGC072803                               |  PGC072803      | 23.9027987      | 0.3828544       | S0              | B               |                 | M               | -2.1            |  1.188          |  0.333          |    0.024        | 108.81          | 14.03           | 12.332          |                 |                 |                 | 7835.2          | 0.186           |   90            |                 | 7814.8          | 35.287          |
