!! request processed by HyperLeda Mon Aug  6 20:05:43 2018
!! Number of lines in uploaded file: 177
!! Manually edited names for IC2247, NGC4211NED02, UGC05498NED01, NGC 6125
                  name                  |     objname     |     al2000      |     de2000      |      type       |       bar       |      ring       |    multiple     |        t        |       e_t       |     logd25      |    e_logd25     |     logr25      |    e_logr25     |       pa        |       bt        |      e_bt       |       it        |      e_it       |      vmaxg      |     e_vmaxg     |       m21       |      e_m21      |      mfir       |        v        |       e_v       |       ag        |      incl       |      bvtc       |      vrot       |     e_vrot      |     modbest     |    e_modbest    |      mabs       |     e_mabs      |
  NGC6301                               |  NGC6301        | 17.1424262      | 42.3389919      | Sc              |                 | R               |                 | 5.9             | 0.5             |  1.248          |    0.038        |  0.249          |     0.03        | 112.76          | 14.504          | 0.327           |                 |                 | 204.89          |     9.1         | 15.93           | 0.092           | 13.481          | 8360.9          | 12.4            | 0.124           | 57.09           |                 | 244.05          |  10.98          |  35.509         |     0.125       | -21.603         |   0.35          |
  NGC6310                               |  NGC6310        | 17.132626       | 60.9901251      | Sb              |                 | R               |                 | 3.1             | 0.5             |  1.225          |    0.078        |  0.684          |    0.048        | 69.56           | 13.785          | 0.301           | 12.486          | 0.065           | 212.18          |   11.18         | 16.25           | 0.092           |                 | 3400.1          | 2.9             | 0.118           |   90            |                 | 212.18          |                 |  33.662         |     0.292       | -20.924         |  0.419          |
  NGC6314                               |  NGC6314        | 17.2107538      | 23.2701144      | Sa              |                 |                 |                 | 0.9             | 0.8             |  1.138          |    0.038        |  0.294          |    0.023        | 174.24          | 13.902          | 0.099           | 12.199          | 0.34            | 230.2           |    5.89         | 16.6            | 0.092           | 13.574          | 6620.3          | 4.6             | 0.283           | 65.88           | 0.675           | 252.22          |   6.53          |  35.003         |     0.158       | -21.714         |  0.186          |
  NGC6361                               |  NGC6361        | 17.3114197      | 60.608128       | Sb              |                 |                 |                 | 3               | 0.4             |  1.313          |     0.03        |  0.564          |    0.028        | 52              | 13.798          | 0.278           | 11.931          | 0.277           | 223.37          |    8.34         | 14.471          | 0.261           | 11.231          | 3798.9          | 4.1             | 0.116           | 84.56           |                 | 224.38          |    8.4          |  33.888         |     0.264       | -20.998         |  0.383          |
  NGC6394                               |  UGC10889       | 17.5059512      | 59.6398916      | SBb             | B               |                 |                 | 3.2             | 0.5             |  1.056          |    0.043        |  0.422          |    0.026        | 40.15           | 15.195          | 0.353           | 13.395          | 0.054           |                 |                 |                 |                 | 13.372          | 8522.4          | 7.8             | 0.137           | 73.1            |                 |                 |                 |  35.551         |     0.123       | -21.16          |  0.374          |
  NGC6478                               |  NGC6478        | 17.81065        | 51.1572222      | Sc              |                 |                 |                 | 4.9             | 0.7             |  1.161          |    0.063        |  0.518          |     0.04        | 35.21           | 14.02           | 0.324           | 11.722          | 0.064           | 238.15          |    8.02         | 15.467          | 0.185           | 12.362          | 6776            | 2.8             | 0.19            | 76.7            |                 | 244.71          |   8.28          |  35.067         |     0.153       | -22.131         |  0.358          |
  NGC6497                               |  NGC6497        | 17.8549967      | 59.4708403      | Sb              | B               | R               |                 | 3.1             | 0.5             |  1.162          |    0.037        |  0.343          |    0.026        | 110.26          | 14.219          | 0.324           |                 |                 |                 |                 |                 |                 |                 | 6162            | 9.5             | 0.234           | 67.1            |                 |                 |                 |  34.867         |     0.168       | -21.422         |  0.365          |
  NGC6762                               |  NGC6762        | 19.0936333      | 63.9339722      | S0-a            |                 |                 |                 | 0               | 0.4             |  1.189          |    0.053        |   0.66          |     0.05        | 119.33          | 14.115          | 0.325           |                 |                 |                 |                 |                 |                 |                 | 2923.9          | 9.1             | 0.239           |   90            |                 |                 |                 |  33.358         |     0.336       | -19.722         |  0.467          |
  NGC7738                               |  NGC7738        | 23.7339019      | 0.5167414       | Sb              | B               |                 |                 | 3               | 0.4             |  1.074          |    0.059        |    0.3          |    0.028        | 54.79           | 14.16           | 0.294           | 12.32           | 0.238           | 201.11          |    6.31         | 16.988          | 0.119           | 11.525          | 6801.1          | 46.3            | 0.116           | 63.56           |                 | 224.61          |   7.13          |  34.976         |     0.161       | -21.415         |  0.335          |
  NGC7819                               |  NGC7819        | 0.0734694       | 31.4720278      | Sb              | B               |                 |                 | 3.1             | 0.4             |  1.158          |    0.026        |   0.26          |    0.028        | 96.79           | 14.264          | 0.097           |                 |                 | 110.93          |    2.52         | 14.876          | 0.145           | 12.967          | 4955.8          | 2.1             | 0.245           | 59.79           | 0.523           | 128.36          |   2.98          |  34.335         |     0.214       | -20.733         |  0.235          |
  UGC00809                              |  UGC00809       | 1.2644064       | 33.8107296      | Sc              |                 |                 |                 | 5.9             | 0.5             |  1.076          |    0.035        |  0.659          |     0.03        | 22.43           | 15.363          | 0.148           | 13.611          | 0.041           | 142.2           |    3.63         | 15.627          | 0.134           |                 | 4205.8          | 2.9             | 0.256           | 82.79           | 0.502           | 143.33          |   3.67          |  34.027         |     0.204       | -20.065         |  0.252          |
  UGC00841                              |  UGC00841       | 1.319458        | 33.0304864      | Sbc             |                 |                 |                 | 4               | 0.3             |  1.115          |    0.033        |  0.664          |    0.026        | 53.72           | 14.928          | 0.323           | 13.638          | 0.028           | 130.75          |    3.28         | 16.532          | 0.179           |                 | 5573.3          | 3.3             | 0.278           |   90            |                 | 130.75          |                 |  34.445         |     0.297       | -20.828         |  0.438          |
  UGC00987                              |  UGC00987       | 1.4254083       | 32.13625        | Sa              |                 |                 |                 | 1               | 0.4             |  1.197          |    0.034        |  0.551          |    0.025        | 31.2            | 14.364          | 0.077           | 12.152          | 0.031           | 177.31          |    4.22         | 15.466          | 0.146           |                 | 4656.1          | 2.4             | 0.262           |   90            | 0.791           | 177.31          |                 |  34.062         |     0.191       | -20.44          |  0.206          |
  UGC03253                              |  UGC03253       | 5.3282278       | 84.0525278      | Sb              | B               | R               |                 | 3               | 0.4             |  1.138          |    0.041        |   0.27          |    0.025        | 85.82           | 13.45           | 0.725           | 12.16           |  0.1            | 154.96          |    4.37         | 15.55           | 0.092           | 13.379          | 4123.7          |   4             | 0.29            | 60.74           |                 | 177.63          |   5.08          |  34.007         |     0.202       | -21.269         |  0.753          |
  UGC03539                              |  UGC03539       | 6.8149688       | 66.2613351      | Sbc             | B               |                 |                 | 4.2             | 0.6             |  1.263          |    0.041        |  0.978          |    0.043        | 116.34          | 15.277          | 0.279           | 13.381          | 0.271           | 142.12          |    4.31         | 15.341          | 0.108           | 12.947          | 3304.5          | 1.6             | 0.346           |   90            |                 | 142.12          |                 |  33.493         |     0.238       | -19.989         |  0.367          |
  UGC03899                              |  UGC03899       | 7.54382         | 35.6144883      | Sab             |                 |                 | M               | 2.1             | 0.9             |   1.04          |     0.04        |  0.613          |    0.022        | 46.64           | 15.383          | 0.279           | 14.468          | 0.301           | 96.02           |    4.37         | 15.571          | 0.217           |                 | 3884            |   3             | 0.277           |   90            |                 | 96.02           |                 |    33.8         |     0.275       | -19.421         |  0.392          |
  UGC03944                              |  UGC03944       | 7.6434737       | 37.6334915      | Sc              |                 | R               |                 | 5.7             | 0.6             |   0.84          |     0.06        |  0.451          |    0.036        | 127.35          | 14.864          | 0.322           | 13.314          | 0.219           | 125.15          |    3.57         | 15.372          | 0.154           |                 | 3898.5          | 1.8             | 0.267           | 72.11           |                 | 131.5           |   3.78          |    33.8         |     0.274       | -19.999         |  0.423          |
  UGC03969                              |  UGC03969       | 7.6873134       | 27.6140919      | Sc              |                 |                 |                 | 5.8             | 0.6             |  1.103          |    0.051        |  0.602          |    0.027        | 134.06          | 15.434          | 0.317           | 13.882          | 0.276           | 217.57          |     7.7         | 16.263          | 0.236           | 13.494          | 8169            | 2.4             | 0.222           | 80.01           |                 | 220.92          |   7.83          |   35.39         |     0.133       | -21.246         |  0.344          |
  UGC03973                              |  UGC03973       | 7.7090448       | 49.8098112      | Sb              | B               |                 |                 | 3               | 0.4             |  1.127          |     0.04        |  0.088          |    0.028        | 73              | 13.625          | 0.309           |                 |                 |    73           |    2.65         | 16.167          | 0.125           | 12.793          | 6653.5          | 4.1             | 0.307           | 36.74           | 0.459           | 122.04          |   4.71          |  34.976         |      0.16       | -21.84          |  0.348          |
  UGC03995                              |  UGC03995       | 7.735891        | 29.2472629      | SBbc            | B               |                 | M               | 3.6             | 1.9             |  1.353          |    0.031        |  0.341          |    0.024        | 87.92           | 13.485          | 0.331           |                 |                 | 209.29          |    6.65         | 15.298          | 0.138           | 13.313          | 4763.4          | 20.4            | 0.146           | 66.44           |                 | 228.32          |   7.31          |  34.208         |     0.227       | -21.421         |  0.401          |
  UGC04029                              |  UGC04029       | 7.8052774       | 34.3322151      | Sbc             | B               |                 |                 | 4               | 0.7             |  1.256          |    0.034        |  0.727          |    0.024        | 64.43           | 14.503          | 0.327           | 12.652          | 0.064           | 159.78          |    3.27         | 14.968          | 0.218           | 12.801          | 4417            | 1.3             | 0.235           |   90            |                 | 159.78          |                 |  34.073         |     0.243       | -20.908         |  0.407          |
  UGC04054                              |  UGC04054       | 7.8488978       | 23.8960563      | SABb            | B               | R               |                 | 3.2             | 0.7             |  1.251          |    0.034        |  0.617          |    0.025        | 173.73          | 14.984          | 0.278           | 13.621          | 0.249           | 105.08          |    3.16         | 14.876          |  0.17           |                 | 2121.1          | 2.6             | 0.312           |   90            |                 | 105.08          |                 |  32.276         |     0.315       | -18.467         |   0.42          |
  UGC04132                              |  UGC04132       | 7.9869478       | 32.9148756      | Sbc             |                 |                 | M               | 4               | 0.3             |  1.091          |    0.051        |  0.506          |    0.026        | 28.67           | 13.836          | 0.51            | 12.415          | 0.32            | 238.72          |    5.36         | 15.133          | 0.204           | 11.576          | 5195.2          | 4.7             | 0.294           | 77.36           |                 | 244.65          |   5.53          |  34.449         |     0.178       | -21.723         |   0.54          |
  UGC04280                              |  UGC04280       | 8.2425948       | 54.7995167      | SABa            | B               |                 |                 | 1.1             | 0.6             |  1.121          |    0.078        |  0.653          |    0.047        | 2.14            | 14.404          | 0.299           | 13.172          | 0.054           | 156.42          |    7.17         | 15.52           | 0.092           | 13.488          | 3512.3          | 1.6             | 0.183           |   90            |                 | 156.42          |                 |  33.638         |     0.295       | -19.96          |   0.42          |
  UGC04461                              |  UGC04461       | 8.5562957       | 52.532288       | Sbc             |                 |                 | M               | 4               | 0.3             |   1.14          |    0.042        |  0.513          |    0.026        | 43.92           | 14.399          | 0.298           | 13.442          | 0.046           | 298.4           |   14.06         | 15.37           | 0.092           | 13.097          | 4987.6          |   2             | 0.163           | 77.81           |                 | 305.29          |  14.42          |   34.37         |     0.211       | -20.959         |  0.365          |
  UGC05108                              |  UGC05108       | 9.5906365       | 29.8126339      | SBab            | B               | R               |                 | 2.1             | 0.4             |  1.039          |    0.046        |  0.412          |    0.028        | 142.22          | 14.802          | 0.349           | 13.142          | 0.081           | 227.13          |    8.56         | 16.22           | 0.214           | 12.925          | 8135.4          | 0.7             | 0.075           | 74.38           |                 | 235.83          |   8.94          |   35.39         |     0.132       | -21.23          |  0.373          |
  UGC05111                              |  UGC05111       | 9.6145772       | 66.7883459      | Sbc             |                 |                 |                 | 4               | 0.3             |  1.174          |    0.068        |  0.738          |    0.063        | 119.59          | 15.267          | 0.363           | 13.287          | 0.092           | 211.71          |     9.5         | 16.334          |   0.6           | 13.215          | 6731.3          | 1.9             | 0.402           |   90            |                 | 211.71          |                 |  35.029         |     0.156       | -21.295         |  0.395          |
  UGC05244                              |  UGC05244       | 9.8133444       | 64.167634       | Sc              |                 |                 |                 | 5.9             | 0.6             |  1.178          |    0.048        |   0.88          |    0.047        | 32.07           | 15.137          | 0.276           | 13.975          | 0.364           | 104.42          |    3.62         | 15.701          | 0.109           |                 | 3014.4          | 4.6             | 0.245           |   90            |                 | 104.42          |                 |  33.358         |     0.335       | -19.949         |  0.434          |
  UGC05359                              |  UGC05359       | 9.9810167       | 19.2149883      | SABb            | B               |                 |                 | 3.9             | 0.7             |  1.192          |     0.04        |  0.422          |    0.028        | 95.27           | 14.918          | 0.274           | 13.584          | 0.213           | 208.69          |    7.79         | 15.502          | 0.297           |                 | 8470.9          | 2.2             | 0.103           | 72.04           |                 | 219.38          |   8.23          |  35.467         |     0.127       | -21.363         |  0.303          |
  UGC05396                              |  UGC05396       | 10.0279095      | 10.7564347      | Sc              |                 |                 |                 | 5.8             | 0.5             |  1.166          |    0.031        |  0.416          |    0.034        | 155.94          | 14.577          | 0.289           | 13.286          | 0.282           | 152.65          |    2.78         | 15.63           | 0.156           |                 | 5402.2          | 1.5             | 0.133           | 69.95           |                 | 162.5           |   2.99          |  34.472         |     0.201       | -20.773         |  0.352          |
  UGC05498NED01                         |  PGC029708      | 10.2010154      | 23.08551        | Sa              |                 |                 | M               | 1               | 0.4             |  1.195          |    0.037        |  0.782          |    0.025        | 61.37           | 15.065          | 0.295           | 13.43           | 0.12            | 228.88          |    24.4         | 15.843          |  0.42           | 13.686          | 6295.8          | 3.2             | 0.113           |   90            |                 | 228.88          |                 |  34.839         |     0.171       | -20.51          |  0.341          |
  UGC05598                              |  UGC05598       | 10.3705635      | 20.5894374      | Sab             |                 | R               |                 | 2.5             | 3.7             |  1.103          |    0.039        |  0.525          |    0.033        | 35.39           | 15.338          | 0.309           | 13.485          | 0.201           | 154.99          |    7.59         | 15.617          | 0.218           | 13.785          | 5636.6          | 2.3             | 0.114           | 83.03           |                 | 156.14          |   7.67          |  34.585         |      0.19       | -20.072         |  0.363          |
  UGC05771                              |  UGC05771       | 10.6220393      | 43.5875923      | S0-a            |                 |                 |                 | -0.3            | 1.1             |  1.145          |    0.043        |  0.163          |    0.025        | 56.65           | 14.565          | 0.364           | 12.763          | 0.075           | 194.07          |   12.06         | 17.411          | 0.266           |                 | 7399.9          | 4.2             | 0.062           | 51.92           |                 | 246.54          |  15.54          |  35.216         |     0.143       | -20.861         |  0.391          |
  UGC05990                              |  UGC05990       | 10.8773215      | 34.4829984      | SBab            | B               |                 |                 | 2.1             | 0.8             |  1.113          |    0.037        |  0.601          |    0.027        | 14.94           | 15.01           | 0.274           | 13.866          | 0.054           | 80.27           |    2.69         | 15.992          | 0.251           |                 | 1571.9          | 1.7             | 0.083           |   90            |                 | 80.27           |                 |  32.041         |     0.338       | -17.799         |  0.435          |
  UGC06312                              |  UGC06312       | 11.3000542      | 7.8449016       | Sa              | B               |                 |                 | 0.9             | 0.5             |  1.072          |    0.042        |   0.37          |    0.025        | 47.04           | 14.725          | 0.322           | 12.949          | 0.084           | 253.02          |   15.24         | 15.508          | 0.242           |                 | 6330.9          | 6.5             | 0.182           | 73.46           |                 | 263.93          |  15.96          |  34.839         |      0.17       | -20.675         |  0.365          |
  UGC07012                              |  UGC07012       | 12.0342061      | 29.8480469      | SBc             | B               |                 |                 | 5.7             | 0.9             |  1.034          |     0.04        |  0.273          |    0.021        | 9.74            | 14.342          | 0.313           | 13.655          | 0.253           | 88.57           |    2.03         | 14.886          | 0.174           |                 | 3073.2          | 4.3             | 0.092           | 59.4            |                 | 102.9           |    2.4          |  33.358         |     0.336       | -19.598         |  0.459          |
  UGC07145                              |  UGC07145       | 12.1641591      | 38.2185882      | Sc              |                 |                 |                 | 5.9             | 0.6             |   1.14          |    0.037        |  0.442          |    0.025        | 152.85          | 15.168          | 0.367           | 13.625          | 0.078           | 362.9           |    17.1         |                 |                 |                 | 6639.7          | 5.6             | 0.1             | 71.46           |                 | 382.76          |   18.1          |  34.989         |     0.159       | -20.718         |    0.4          |
  UGC08004                              |  UGC08004       | 12.8605417      | 31.3528226      | SABc            | B               |                 |                 | 6.4             | 0.8             |  1.042          |    0.049        |  0.402          |    0.028        | 5.64            | 15.003          | 0.248           | 13.768          | 0.266           | 133.58          |    3.23         | 15.826          | 0.146           |                 | 6183.4          | 3.2             | 0.059           | 68.71           |                 | 143.37          |    3.5          |  34.806         |     0.153       | -20.603         |  0.291          |
  UGC08107                              |  UGC08107       | 12.9943719      | 53.3412702      | IB              | B               |                 | M               | 9.7             | 1.2             |  1.359          |    0.048        |  0.368          |    0.048        | 51.85           | 14.567          | 0.53            | 13.047          | 0.071           | 361.44          |   16.88         | 15.258          |   0.6           | 13.364          | 8296.1          | 3.8             | 0.095           | 83.75           | 0.522           | 363.6           |  17.14          |  35.477         |     0.127       | -21.691         |  0.545          |
  UGC08231                              |  UGC08231       | 13.1437336      | 54.0743675      | Sc              | B               | R               |                 | 6               |   2             |  1.171          |    0.076        |  0.497          |    0.052        | 74.94           | 14.309          | 0.407           | 14.007          | 0.079           | 96.79           |    6.59         | 15.146          | 0.266           |                 | 2462.2          |   2             | 0.097           | 74.45           |                 | 100.47          |   6.86          |  33.005         |     0.398       | -19.667         |  0.569          |
  UGC08234                              |  UGC08234       | 13.1462521      | 62.2716531      | S0-a            | B               |                 |                 | -0.2            | 0.6             |  1.205          |    0.077        |  0.386          |    0.058        | 142.14          | 13.722          | 0.275           | 12.52           | 0.087           |                 |                 |                 |                 |                 | 8109            | 50.4            | 0.067           | 80.23           |                 |                 |                 |  35.434         |      0.13       | -22.005         |  0.304          |
  UGC08250                              |  UGC08250       | 13.1722567      | 32.4827197      | Sc              |                 |                 |                 | 5.9             | 0.5             |  1.121          |    0.033        |   0.68          |     0.03        | 12.59           | 15.477          | 0.284           | 13.954          | 0.207           | 125.42          |    4.45         | 15.939          | 0.254           |                 | 5267.6          | 3.7             | 0.064           | 83.93           |                 | 126.12          |   4.48          |  34.505         |     0.198       | -20.273         |  0.346          |
  UGC08267                              |  UGC08267       | 13.1864745      | 43.7264078      | Sbc             |                 |                 |                 | 3.9             | 1.9             |  1.051          |     0.04        |  0.576          |    0.033        | 40.48           | 15.481          | 0.369           | 13.616          | 0.051           | 221.21          |   23.59         | 17.058          |   0.6           | 13.302          | 7261.8          | 8.5             | 0.088           | 82.27           |                 | 223.24          |  23.83          |  35.192         |     0.145       | -20.715         |  0.396          |
  UGC08778                              |  UGC08778       | 13.8685211      | 38.0670294      | Sab             |                 |                 |                 | 2               | 1.4             |  0.968          |    0.107        |  0.582          |    0.063        | 119.11          | 14.705          | 0.28            | 13.124          | 0.054           | 153.09          |    10.7         | 16.662          | 0.255           |                 | 3229.8          | 2.1             | 0.091           |   90            |                 | 153.09          |                 |  33.515         |     0.312       | -19.57          |   0.42          |
  UGC08781                              |  UGC08781       | 13.8729815      | 21.5393583      | Sb              | B               |                 |                 | 3.1             | 0.4             |  1.201          |    0.035        |  0.234          |    0.027        | 161.78          | 14.306          | 0.322           | 12.458          | 0.245           | 238.57          |   15.89         | 17.05           | 0.256           |                 | 7570.6          | 3.8             | 0.13            | 57.13           |                 | 284.04          |  19.08          |  35.264         |      0.14       | -21.488         |  0.351          |
  UGC09067                              |  UGC09067       | 14.1792947      | 15.2094136      | Sab             |                 |                 |                 | 2               | 0.5             |   0.91          |    0.055        |  0.352          |    0.025        | 10.64           | 14.594          | 0.291           | 13.332          | 0.064           | 185.13          |     5.4         | 16.339          | 0.188           | 13.32           | 7840.4          | 1.2             | 0.073           | 69.45           |                 | 197.7           |   5.82          |  35.333         |     0.135       | -21.306         |  0.321          |
  UGC09476                              |  UGC09476       | 14.6922234      | 44.5127532      | SABc            | B               |                 | M               | 5.2             | 0.6             |  1.177          |    0.033        |  0.203          |    0.022        | 128.71          | 13.762          | 0.286           | 12.557          | 0.271           | 101.27          |    2.85         | 15.72           | 0.092           | 13.137          | 3270.7          | 2.1             | 0.078           | 52.61           |                 | 127.45          |   3.66          |  33.565         |     0.306       | -20.248         |  0.418          |
